Filename,и,Segment,Личноеместоимение,вербальные,Предлог,Союз,Когнитив,Включение,AllPunc,мест.-сущ.,добавление,Truth,Sex,Avg_sent,TTR,Avg_word,Hapax,Yules
35Л.docx,2.7,1,2.7,10.81,2.7,2.7,8.11,5.41,27.03,2.7,2.7,1,жен.,5.875,0.7872340426,5.3191489362,0.8918918919,525.9313367421
35П.docx,2.86,1,0,2.86,5.71,2.86,14.29,2.86,31.43,0,2.86,0,жен.,5.875,0.7872340426,5.3191489362,0.8918918919,525.9313367421
36Л.docx,5.77,1,13.46,21.15,12.18,10.26,18.59,12.18,20.51,7.05,5.77,1,жен.,15.6666666667,0.6063829787,4.0957446809,0.7894736842,560.1723607264
36П.docx,4.23,1,14.29,22.22,9.52,8.99,17.99,12.17,21.16,7.94,4.26,0,жен.,15.6666666667,0.6063829787,4.0957446809,0.7894736842,560.1723607264
37Л.docx,2.63,1,17.11,26.32,7.89,9.21,15.79,7.89,18.42,15.79,2.67,1,жен.,11.25,0.7222222222,4,0.8615384615,357.3964497041
37П.docx,1.66,1,12.03,15.35,15.35,5.39,11.62,5.39,29.46,8.3,2.1,0,жен.,11.25,0.7222222222,4,0.8615384615,357.3964497041
38Л.docx,6.2,1,6.2,11.63,14.73,6.98,13.18,10.85,24.81,1.55,6.2,1,жен.,12.0769230769,0.7324840764,4.5923566879,0.8695652174,252.5519848771
38П.docx,2.75,1,14.68,21.1,14.68,4.59,16.51,11.93,22.02,7.34,3.7,0,жен.,12.0769230769,0.7324840764,4.5923566879,0.8695652174,252.5519848771
39Л.docx,1.61,1,14.52,16.13,16.13,6.45,9.68,4.84,20.97,16.13,1.61,1,муж.,9.375,0.72,4.3066666667,0.8333333333,442.3868312757
39П.docx,0,1,13.04,17.39,17.39,4.35,6.52,2.17,21.74,13.04,0,0,муж.,9.375,0.72,4.3066666667,0.8333333333,442.3868312757
3Л.docx,3.53,1,7.06,14.12,16.47,4.71,17.65,12.94,16.47,2.35,3.53,1,муж.,19.8,0.7272727273,4.6060606061,0.8333333333,337.5771604938
3П.docx,4.35,1,4.35,11.96,14.13,8.7,21.74,9.78,16.3,2.15,4.4,0,муж.,19.8,0.7272727273,4.6060606061,0.8333333333,337.5771604938
